12÷2=？  	12÷2=？  <br>谜底：<font color="#FFFFFF">商陆  </font>\n
桂林山水甲天下。  	桂林山水甲天下。  <br>谜底：<font color="#FFFFFF">石秀</font>\n
桂香沁心脾。  	桂香沁心脾。  <br>谜底：<font color="#FFFFFF">花袭人</font>\n
锅炉房。 （打一香港故事片名）  	锅炉房。 （打一香港故事片名）  <br>谜底：<font color="#FFFFFF">水火之间  </font>\n
国内改革盛无前（字）	国内改革盛无前（字）<br>谜底：<font color="#FFFFFF">盐</font>\n
国庆节上演相声 （字） 	国庆节上演相声 （字） <br>谜底：<font color="#FFFFFF">楣</font>\n
国庆巧逢八月半 （字） 	国庆巧逢八月半 （字） <br>谜底：<font color="#FFFFFF">均</font>\n
过江码头。（打四川一地名）  	过江码头。（打四川一地名）  <br>谜底：<font color="#FFFFFF">渡口  </font>\n
过目不忘（文学名词）	过目不忘（文学名词）<br>谜底：<font color="#FFFFFF">速记</font>\n
哈哈镜。（打一物理名词）  	哈哈镜。（打一物理名词）  <br>谜底：<font color="#FFFFFF">失真  </font>\n
孩儿兵（五字影片名）	孩儿兵（五字影片名）<br>谜底：<font color="#FFFFFF">战斗里成长</font>\n
孩儿兵驰聘沙场。（打《水浒》人名二）  	孩儿兵驰聘沙场。（打《水浒》人名二）  <br>谜底：<font color="#FFFFFF">童威、童猛</font>\n
海军（字）	海军（字）<br>谜底：<font color="#FFFFFF">浑</font>\n
海口（三字俗语）	海口（三字俗语）<br>谜底：<font color="#FFFFFF">说大话</font>\n
海南一日游（黑龙江名胜）	海南一日游（黑龙江名胜）<br>谜底：<font color="#FFFFFF">太阳岛</font>\n
海上绿舟	海上绿舟<br>谜底：<font color="#FFFFFF">是青岛! </font>\n
海上有了信号兵， 不怕浪打风雨淋， 为使轮船不迷航， 夜夜工作到天明。 （打一交通设施）  	海上有了信号兵， 不怕浪打风雨淋， 为使轮船不迷航， 夜夜工作到天明。 （打一交通设施）  <br>谜底：<font color="#FFFFFF">航标灯  </font>\n
含情春色付西邻（字）	含情春色付西邻（字）<br>谜底：<font color="#FFFFFF">怜</font>\n
含笑花（三字近代史组织）	含笑花（三字近代史组织）<br>谜底：<font color="#FFFFFF">华兴会</font>\n
含笑卧沙场（五字俗语）	含笑卧沙场（五字俗语）<br>谜底：<font color="#FFFFFF">高兴不起来</font>\n
含冤悬梁（《反对自由主义》二句）	含冤悬梁（《反对自由主义》二句）<br>谜底：<font color="#FFFFFF">事不关已，高高挂起</font>\n
寒冬一到就停火（四字国际新闻用语）	寒冬一到就停火（四字国际新闻用语）<br>谜底：<font color="#FFFFFF">冷战结束</font>\n
寒来暑往（小说名）	寒来暑往（小说名）<br>谜底：<font color="#FFFFFF">秋</font>\n
寒来暑住（打中国小说名一）  	寒来暑住（打中国小说名一）  <br>谜底：<font color="#FFFFFF">秋</font>\n
焊接。  	焊接。  <br>谜底：<font color="#FFFFFF">续断  </font>\n
汉朝文书。  	汉朝文书。  <br>谜底：<font color="#FFFFFF">刘表</font>\n
汉宫（江西名胜）	汉宫（江西名胜）<br>谜底：<font color="#FFFFFF">纯阳殿</font>\n
 航空信	 航空信<br>谜底：<font color="#FFFFFF">是高邮</font>\n
毫光突起，瞬息千里， 一鸣惊人，带来风雨。（打一自然现象） 	毫光突起，瞬息千里， 一鸣惊人，带来风雨。（打一自然现象） <br>谜底：<font color="#FFFFFF">雷电</font>\n
郝大勇振臂高呼。 （成语）	郝大勇振臂高呼。 （成语）<br>谜底：<font color="#FFFFFF">摇旗呐喊 </font>\n
好辞（四字影片名）	好辞（四字影片名）<br>谜底：<font color="#FFFFFF">男女有别</font>\n
好点（成语）	好点（成语）<br>谜底：<font color="#FFFFFF">不劣方头</font>\n
好汉。（打一欧洲国家名） 	好汉。（打一欧洲国家名） <br>谜底：<font color="#FFFFFF">瑞士 </font>\n
好美的国家	好美的国家<br>谜底：<font color="#FFFFFF">美国</font>\n
好婆媳好姑嫂处处有 （字） 	好婆媳好姑嫂处处有 （字） <br>谜底：<font color="#FFFFFF">女</font>\n
好书（四字俗语）	好书（四字俗语）<br>谜底：<font color="#FFFFFF">本质不坏</font>\n
好似一双手，十个手指头， 看看光是皮，摸摸没骨头。 	好似一双手，十个手指头， 看看光是皮，摸摸没骨头。 <br>谜底：<font color="#FFFFFF">手套 </font>\n
号鼓同操。 （成语）	号鼓同操。 （成语）<br>谜底：<font color="#FFFFFF">自吹自擂 </font>\n
呵（成语）	呵（成语）<br>谜底：<font color="#FFFFFF">千金一诺</font>\n
喝了池中一碗水,又笑又骂又软腿	喝了池中一碗水,又笑又骂又软腿<br>谜底：<font color="#FFFFFF">酒</font>\n
核潜艇。（打中国小说名一）  	核潜艇。（打中国小说名一）  <br>谜底：<font color="#FFFFFF">水下尖兵</font>\n
和泪吞声免是非（字）	和泪吞声免是非（字）<br>谜底：<font color="#FFFFFF">湄</font>\n
和平城市。（打江西一地名）  	和平城市。（打江西一地名）  <br>谜底：<font color="#FFFFFF">宁都  </font>\n
和平日（五字影片名）	和平日（五字影片名）<br>谜底：<font color="#FFFFFF">缺角的太阳</font>\n
和尚代表团。  	和尚代表团。  <br>谜底：<font color="#FFFFFF">僧一行</font>\n
何首乌（二字黄历名词）	何首乌（二字黄历名词）<br>谜底：<font color="#FFFFFF">人日</font>\n
何须杀人灭口	何须杀人灭口<br>谜底：<font color="#FFFFFF">丁</font>\n
合目小睡 （字 ）	合目小睡 （字 ）<br>谜底：<font color="#FFFFFF">屯</font>\n
合起来五句话。 （成语）	合起来五句话。 （成语）<br>谜底：<font color="#FFFFFF">三言两语 </font>\n
河边一个大汉， 手摇六把蒲扇， 浇地他是好手， 提水爬上田岸。 （打一农具） 	河边一个大汉， 手摇六把蒲扇， 浇地他是好手， 提水爬上田岸。 （打一农具） <br>谜底：<font color="#FFFFFF">风力水车</font>\n
赫（以下打《水浒》人物绰号一） 。  	赫（以下打《水浒》人物绰号一） 。  <br>谜底：<font color="#FFFFFF">朱仝</font>\n
赫赫小英雄。  	赫赫小英雄。  <br>谜底：<font color="#FFFFFF">童威</font>\n
贺诗（广东名胜）	贺诗（广东名胜）<br>谜底：<font color="#FFFFFF">庆云寺</font>\n
黑白天娥	黑白天娥<br>谜底：<font color="#FFFFFF">嫦娥</font>\n
黑汉性刚强， 浑身闪闪亮， 能放光和热， 工业好食粮。 （打一矿产品）  	黑汉性刚强， 浑身闪闪亮， 能放光和热， 工业好食粮。 （打一矿产品）  <br>谜底：<font color="#FFFFFF">煤  </font>\n
黑黑一堵墙， 形状长又方， 老师讲课它帮助， 演算写画真便当。 （打一文具） 	黑黑一堵墙， 形状长又方， 老师讲课它帮助， 演算写画真便当。 （打一文具） <br>谜底：<font color="#FFFFFF">黑板 </font>\n
黑棋输了。  	黑棋输了。  <br>谜底：<font color="#FFFFFF">白胜</font>\n
横江河伴相赏月 (字 )	横江河伴相赏月 (字 )<br>谜底：<font color="#FFFFFF">沁</font>\n
横看是只尺，竖看是根棒， 年龄最最小，大哥他来当。 （打一数字）  	横看是只尺，竖看是根棒， 年龄最最小，大哥他来当。 （打一数字）  <br>谜底：<font color="#FFFFFF">1</font>\n
恒温世界。 （打毛主席诗词一句）  	恒温世界。 （打毛主席诗词一句）  <br>谜底：<font color="#FFFFFF">环球同此凉热  </font>\n
鸿喜接妻子来（四字礼貌用语）	鸿喜接妻子来（四字礼貌用语）<br>谜底：<font color="#FFFFFF">欢迎光临</font>\n
红白黄绿小灯笼， 高高挂在半空中， 刮风下雨全不怕， 能遣将来能调兵。 （打一武器） 	红白黄绿小灯笼， 高高挂在半空中， 刮风下雨全不怕， 能遣将来能调兵。 （打一武器） <br>谜底：<font color="#FFFFFF">信号弹</font>\n
红尘。  	红尘。  <br>谜底：<font color="#FFFFFF">丹砂  </font>\n
红船头，黑篷子， 二十四把快篙子， 撑到人家大门前， 吓坏多少小孩子。 	红船头，黑篷子， 二十四把快篙子， 撑到人家大门前， 吓坏多少小孩子。 <br>谜底：<font color="#FFFFFF">蜈蚣</font>\n
红缸绿底，里头装把小米。 	红缸绿底，里头装把小米。 <br>谜底：<font color="#FFFFFF">辣椒</font>\n
红梗子，绿叶子， 开白花，结黑子。 	红梗子，绿叶子， 开白花，结黑子。 <br>谜底：<font color="#FFFFFF">荞麦</font>\n
红河。（打贵州一地名）  	红河。（打贵州一地名）  <br>谜底：<font color="#FFFFFF">赤水  </font>\n
红花还得绿叶扶（美术词语）	红花还得绿叶扶（美术词语）<br>谜底：<font color="#FFFFFF">配色</font>\n
红黄蓝白黑。 （打一艺术名词）  	红黄蓝白黑。 （打一艺术名词）  <br>谜底：<font color="#FFFFFF">彩排  </font>\n
红口袋,绿口袋,有人怕,有人爱	红口袋,绿口袋,有人怕,有人爱<br>谜底：<font color="#FFFFFF">是辣椒! </font>\n
红领巾中队长（体育项目）	红领巾中队长（体育项目）<br>谜底：<font color="#FFFFFF">双杠</font>\n
红面。（打一欧洲国家名） 	红面。（打一欧洲国家名） <br>谜底：<font color="#FFFFFF">丹麦 </font>\n
红日。（打江苏一地名）  	红日。（打江苏一地名）  <br>谜底：<font color="#FFFFFF">丹阳  </font>\n
红彤彤，一大蓬，见风它就逞凶狂， 无嘴能吃天下物，单怕雨水不怕风。 （打一自然现象） 	红彤彤，一大蓬，见风它就逞凶狂， 无嘴能吃天下物，单怕雨水不怕风。 （打一自然现象） <br>谜底：<font color="#FFFFFF">火</font>\n
红头红脚披红衣， 躲在厨房偷油吃。 	红头红脚披红衣， 躲在厨房偷油吃。 <br>谜底：<font color="#FFFFFF">蟑螂</font>\n
红颜薄命。	红颜薄命。<br>谜底：<font color="#FFFFFF">寡人好色</font>\n
后。  	后。  <br>谜底：<font color="#FFFFFF">王夫人</font>\n
后卫拉人，点球！（字）	后卫拉人，点球！（字）<br>谜底：<font color="#FFFFFF">头</font>\n
后羿张弓。（打江苏一地名）  	后羿张弓。（打江苏一地名）  <br>谜底：<font color="#FFFFFF">射阳  </font>\n
后羿张弓。（打江苏一地名）  	后羿张弓。（打江苏一地名）  <br>谜底：<font color="#FFFFFF">射阳  </font>\n
忽见陌头柳柳色。 （打一香港故事片名）  	忽见陌头柳柳色。 （打一香港故事片名）  <br>谜底：<font color="#FFFFFF">春 </font>\n
忽然不见忽然有， 象虎象龙又象狗， 太阳出来它不怕， 大风一吹它就走（打一自然物） 	忽然不见忽然有， 象虎象龙又象狗， 太阳出来它不怕， 大风一吹它就走（打一自然物） <br>谜底：<font color="#FFFFFF">云</font>\n
忽然痊愈。  	忽然痊愈。  <br>谜底：<font color="#FFFFFF">霍去病</font>\n
忽如一夜春风来，千树万树梨花开（时人）	忽如一夜春风来，千树万树梨花开（时人）<br>谜底：<font color="#FFFFFF">霍英东</font>\n
蝴蝶恋花前（打一字）	蝴蝶恋花前（打一字）<br>谜底：<font color="#FFFFFF">弈</font>\n
湖光水月映浮图（海南名胜）	湖光水月映浮图（海南名胜）<br>谜底：<font color="#FFFFFF">古塔</font>\n
湖光水月映浮图（海南名胜）	湖光水月映浮图（海南名胜）<br>谜底：<font color="#FFFFFF">古塔</font>\n
湖广方言（古代书名）	湖广方言（古代书名）<br>谜底：<font color="#FFFFFF">楚辞</font>\n
湖南农村。（打湖南一地名）  	湖南农村。（打湖南一地名）  <br>谜底：<font color="#FFFFFF">湘乡  </font>\n
湖畔经商（二字近代史名词）	湖畔经商（二字近代史名词）<br>谜底：<font color="#FFFFFF">水营</font>\n
湖中显倒影 （字 ）	湖中显倒影 （字 ）<br>谜底：<font color="#FFFFFF">潮</font>\n
弧光点点（二字影片名）	弧光点点（二字影片名）<br>谜底：<font color="#FFFFFF">残月</font>\n
虎入平阳（三字影片名）	虎入平阳（三字影片名）<br>谜底：<font color="#FFFFFF">落山风</font>\n
虎穴追踪。 （打一国产故事片名）  	虎穴追踪。 （打一国产故事片名）  <br>谜底：<font color="#FFFFFF">英雄虎胆  </font>\n
虎伥（美术词语）	虎伥（美术词语）<br>谜底：<font color="#FFFFFF">野兽派</font>\n
护身符（物品）	护身符（物品）<br>谜底：<font color="#FFFFFF">卫生纸</font>\n
护身器具。 （打电视剧名一）  	护身器具。 （打电视剧名一）  <br>谜底：<font color="#FFFFFF">盾  </font>\n
互相帮助。（打一物理名词）  	互相帮助。（打一物理名词）  <br>谜底：<font color="#FFFFFF">合力  </font>\n
沪上一角（四字近代史名词）	沪上一角（四字近代史名词）<br>谜底：<font color="#FFFFFF">北门之战</font>\n
沪上一角（四字近代史名词）	沪上一角（四字近代史名词）<br>谜底：<font color="#FFFFFF">北门之战</font>\n
户口（字）	户口（字）<br>谜底：<font color="#FFFFFF">启</font>\n
户口簿。 （打外国影片名一  	户口簿。 （打外国影片名一  <br>谜底：<font color="#FFFFFF">人证  </font>\n
户外两竿竹叶；室内一片阳光（字）	户外两竿竹叶；室内一片阳光（字）<br>谜底：<font color="#FFFFFF">简</font>\n
花儿献给运动员 (字) 	花儿献给运动员 (字) <br>谜底：<font color="#FFFFFF">喷</font>\n
花木兰从军（四字影片名）	花木兰从军（四字影片名）<br>谜底：<font color="#FFFFFF">冒名顶替</font>\n
花气球（成语）	花气球（成语）<br>谜底：<font color="#FFFFFF">华而不实</font>\n
花前湖边路侧停 （字） 	花前湖边路侧停 （字） <br>谜底：<font color="#FFFFFF">落</font>\n
花园四角方,里面真荒凉,只有一棵树,种在园中央（字）	花园四角方,里面真荒凉,只有一棵树,种在园中央（字）<br>谜底：<font color="#FFFFFF">困</font>\n
华南一日（二字影片名）	华南一日（二字影片名）<br>谜底：<font color="#FFFFFF">十天</font>\n
画了两只狗变成两只猫。 （打一国产故事片名）  	画了两只狗变成两只猫。 （打一国产故事片名）  <br>谜底：<font color="#FFFFFF">苗苗  </font>\n
画眉传递春之语 （字） 	画眉传递春之语 （字） <br>谜底：<font color="#FFFFFF">谜</font>\n
画时园, 写时方; 冬时断, 夏时长（ 字 ）	画时园, 写时方; 冬时断, 夏时长（ 字 ）<br>谜底：<font color="#FFFFFF">日</font>\n
画中悬玉兔，笔底洒流星 (字)	画中悬玉兔，笔底洒流星 (字)<br>谜底：<font color="#FFFFFF">腮</font>\n
化身（书法用语）	化身（书法用语）<br>谜底：<font color="#FFFFFF">变更体</font>\n
